0,0
1,1
2,2
3,3
4,4
5,5
6,6
6,7
7,8
7,8
7,8
8,9
9,10
10,11
11,12
12,13
12,14
9,15
13,16
14,17
15,18
12,14
16,19
17,20
8,21
18,22
12,14
19,23
20,24
21,25
12,14
22,26
23,26
22,27
22,28
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
22,26
24,29
25,26
26,14
27,14
12,30
12,31
12,32
12,33
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
28,34
12,14
12,14
29,14
30,35
31,36
32,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
