0,0
77,1
"77, 79, 80, 78",2
10,3
71,4
13,5
93,6
"11, 261341, 81100",7
28,8
"980, 11, 261341, 81100",9
270,10
436,11
1250,12
"7843, 5833, 1883, 5233, 11057, 1444, 21551",13
1489,14
27,15
150,16
330,17
256,18
18,19
586,20
1608,21
752,22
1666,23
1668,24
712,25
171,26
196,27
714,28
472,29
1758,30
699,31
23,32
1794,33
1894,34
1873,35
124,36
1827,37
2301,38
2031,39
"177, 71",40
2068,41
257,42
2288,43
194,44
2324,45
823,46
875,47
2025,48
1408,49
2552,50
11,51
364,52
1035,53
"822, 140711, 89952, 45748",54
135,55
955,56
491,57
2734,58
"40529, 1566",59
553,60
2760,61
2800,62
"2891, 2888",63
20432,64
"2891, 427583",65
278,66
121,67
2952,68
1157,69
"822, 89952, 329954, 45748",70
384,71
2368,72
2511,73
451,74
2439,75
1152,76
1406,77
"2952, 7301, 16129",78
3608,79
3613,80
61269,81
2471,82
5336,83
181,84
"14278, 1323, 5571",85
2795,86
3822,87
1634,88
679,89
1202,90
3340,91
1927,92
1738,93
"4001, 6516",94
1897,95
"13, 926",96
"13, 2807, 325",97
2516,98
4217,99
1546,100
26055,101
425,102
25,103
3801,104
3040,105
"3620, 3829",106
1431,107
15,108
11292,109
1246,110
4799,111
"37904, 173",112
2499,113
10630,114
"33434, 39336, 2651",115
15987,116
12493,117
9209,118
"9209, 14996, 225244, 119637",119
28143,120
31481,121
27162,122
"28143, 34499",123
30549,124
31260,125
37111,126
"36218, 209418, 216849, 142131, 142132, 275626, 40834, 149083, 184207",127
"9209, 106637, 106645, 131188, 147938, 182078, 14996, 21348, 31627, 202670, 30746, 119637",128
"39856, 121288, 92828",129
"40692, 97786",130
"39463, 313010",131
"28143, 40210, 34499",132
"36218, 209418, 216849, 142132, 275626, 40834, 149083, 184207",133
"36218, 209418, 216849, 142131, 40834, 149083, 184207",134
68448,135
43111,136
54998,137
"36218, 209418, 40834, 149083",138
"9209, 14996",139
"9209, 14996, 225244, 21348, 31627, 119637",140
77130,141
"68448, 92539",142
115746,143
"36218, 209418, 216849, 142131, 275626, 40834",144
72125,145
70323,146
96848,147
"68448, 111661, 92539",148
110327,149
104006,150
"30549, 40849, 168703",151
"36218, 209418, 216849, 142131, 142132, 40834, 149083, 184207",152
100423,153
"129437, 156689",154
126163,155
123260,156
128621,157
146021,158
120677,159
148949,160
70919,161
170216,162
132531,163
157354,164
146508,165
"124361, 256916",166
144733,167
"9209, 14996, 225244, 21348, 119637",168
"164928, 171905",169
181304,170
162886,171
"128621, 183394, 156455",172
82222,173
169786,174
"128621, 183394",175
173346,176
"205637, 359609",177
170042,178
205059,179
169426,180
177736,181
201808,182
167791,183
185343,184
172287,185
"169786, 199727",186
205896,187
187645,188
199478,189
237182,190
199561,191
193738,192
"199792, 319422",193
251247,194
244521,195
247763,196
231733,197
182028,198
"268201, 268191, 366310, 216734, 291794, 322561, 322562, 322563, 320527, 244271, 266967, 266966, 266964, 266965, 403511, 403494, 438729, 438727",199
236457,200
262712,201
285774,202
"266192, 366161",203
266524,204
269385,205
277659,206
286096,207
233078,208
312484,209
"316554, 397598",210
271896,211
"162886, 262722",212
342942,213
